,side,market,wallet,shares,yes_no_index,pseudonym
98,YES,tyler-robinson-convicted-of-homicide,0xd12c623974efe4b58d0b94a57f4b5ff87776dce8,13.0,0,Unlawful-Limb
172,NO,tyler-robinson-convicted-of-homicide,0xedd835510e08c1de5c794ebc192c3222eef7b939,13.0,1,Buoyant-Gland
173,NO,tyler-robinson-convicted-of-homicide,0x1ca59b4088339065440836b425c586f02c9480f5,10.0,1,Memorable-Data
174,NO,tyler-robinson-convicted-of-homicide,0x58744f91ed701afdc02d55b0467b09ce62c505f7,10.0,1,Concerned-Wing
175,NO,tyler-robinson-convicted-of-homicide,0x8c65191e411feec6c73aefbd74a55d246099dcf7,10.0,1,Official-Security
176,NO,tyler-robinson-convicted-of-homicide,0x9287bd3d7f9cc43198c98974cbbdfa1c48fe41f2,10.0,1,Better-Rheumatism
177,NO,tyler-robinson-convicted-of-homicide,0xe65f020522dc43ae9c85c8e03a4f403414899352,10.0,1,Thin-Decoration
178,NO,tyler-robinson-convicted-of-homicide,0x4d1e7f7ab98bee32b09b1cdf5c5159e73922e714,10.0,1,
179,NO,tyler-robinson-convicted-of-homicide,0x290d0d19d90afbff047dd3585c4a716dc5f9dc40,9.0,1,Sunny-Caramel
180,NO,tyler-robinson-convicted-of-homicide,0xfb8edbc409120f8dbab8df8e723037e0fe773dc3,9.0,1,Outstanding-Mandarin
181,NO,tyler-robinson-convicted-of-homicide,0xd5bab2c5c4db2194a248722b592888511b64258c,9.0,1,
182,NO,tyler-robinson-convicted-of-homicide,0xb3d4c3aec894c555aad1d442421260bae491e68a,9.0,1,Selfish-Tangerine
183,NO,tyler-robinson-convicted-of-homicide,0x3aee183874934d8b07e209e22bb88aff11cba04a,9.0,1,
184,NO,tyler-robinson-convicted-of-homicide,0xe71d94b0c62faafdc88e744c96ad82c1646b7359,9.0,1,Calculating-Plugin
185,NO,tyler-robinson-convicted-of-homicide,0x9168b6a66d92865ff147512662b74b330c60b224,8.0,1,
186,NO,tyler-robinson-convicted-of-homicide,0x1ab08b70e43b2e9f1ec9815f2451e2ad084a0a52,8.0,1,
187,NO,tyler-robinson-convicted-of-homicide,0xd43a88f36e8921a97fd397432d08f56604b21c11,8.0,1,Spanish-Consulting
188,NO,tyler-robinson-convicted-of-homicide,0xcdadaae674be530e76f67a5574e8d0536239a2fa,7.0,1,
189,NO,tyler-robinson-convicted-of-homicide,0x50c97b7214a030e87ce21848f67308286c69dec1,7.0,1,Massive-Neon
190,NO,tyler-robinson-convicted-of-homicide,0x31a60675a2a620fea7710880f009c11258e10632,7.0,1,
191,NO,tyler-robinson-convicted-of-homicide,0xb2d5557df3ebeb013fba586883551f3a371eff8b,6.0,1,Beloved-Laryngitis-Hunger
192,NO,tyler-robinson-convicted-of-homicide,0xb2539c6e857372d90bc648b59498cb6e5ec42d38,6.0,1,Bewitched-Merchant
193,NO,tyler-robinson-convicted-of-homicide,0x5cca58c627f8828548d13af1e31b7363e3c3507c,6.0,1,
194,NO,tyler-robinson-convicted-of-homicide,0xd8e4b494d55c0b27292d6d43df199177fd11a9cf,6.0,1,
195,NO,tyler-robinson-convicted-of-homicide,0x57b9acdde2dff37c39ad37f24f3293c8d2330464,5.0,1,
196,NO,tyler-robinson-convicted-of-homicide,0xe6000afcee6ea70d272e3ca3517708add214a907,5.0,1,
197,NO,tyler-robinson-convicted-of-homicide,0xe7505c94c7d5980919ad83b8e614142891094850,5.0,1,
198,NO,tyler-robinson-convicted-of-homicide,0xcc1a5d9160199b0862fbe0870d211974a8d87044,5.0,1,
199,NO,tyler-robinson-convicted-of-homicide,0x28ab2147f54270b141e6a0fc9c90043ded572048,5.0,1,Super-Arena
